bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,B,C,C,C,C,B
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,B,B,C,C,C,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,E,D,E,E,D,E,E,D,E,A,D,D,D,A,D,D
A,D,D,A,A,A,A,A,A,A,D,A,A,A,D,D,D,D,A,A,B,D
B,D,C,C,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,A,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,A,A,A,A
D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,D,A,A,A
E,A,A,A,A,E,A,A,E,E,A,A,A,A,E,A,A,A,A,A,A,A
A,B,A,A,A,A,A,A,A,A,A,B,A,C,C,C,C,C,C,C,C,C
B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,D,A,C
D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,C,C,C,C,C,C,D,D,D,C,D,A,D,D,D,D,D,D,D
A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A
B,C,C,C,C,C,C,A,C,A,A,A,A,A,A,A,C,C,A,A,C,C
C,D,D,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D
D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,B,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,C,C,C,A,A,A,A,A,A,A,A,A,A,C,B,D,A,A,B,A
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A
