bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,B,A,A,A,A,A,A,A,A,A,C,A,C,A,A,A,A,A,A,A
C,E,E,C,B,E,B,B,B,B,B,B,E,E,E,E,E,B,B,B,E,B
D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,C,C,C,C,C,C,B,B,B,E,B,E,B,E,E,B,B,E,E,E
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,D,D,D,D,D,D,D,D,D,B,B,B,D,B,D,D,D,D,D,D,D
D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,D,D,D,D,D,D,B,B,B,B,D,B,B,D,B,D,B,B,D,D
B,D,D,D,A,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,E,D
A,C,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A,D,A,D
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,E,D,D,D,E,E,E,E,E,E,E,E,E,E,C,E,E,C,C,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,D,D,D,D,D,D,D,A,A,D,B,A,A,A,A,A,A,A
D,C,D,D,D,D,D,D,D,D,E,D,E,D,E,E,C,C,E,C,C,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,A,A,C,C,C,E,A,A,E,A,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,C,C,C,C,C,E,E,C,C,C,E,C,E,E,C,C,C,C
C,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,C,C,C,C
A,D,E,E,B,B,B,B,B,B,B,B,B,E,B,B,B,B,B,B,E,E
B,E,B,E,E,E,D,E,E,A,E,E,E,E,E,E,E,E,E,E,E,E
C,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,C,C,D,C,C,E,C,E,C,C,C,C,C,E,E,C,C,C,C,C,C
E,C,E,E,E,E,E,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C
A,A,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,D,E,E
B,E,B,B,B,B,B,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,A,D,D,D,D,D,D,D,D,D,D,D,A,A,D,D,D,D,D,D,D
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,D,D,D,B,B,B,D,D,D,D,D,D,D,A,D,D,A,A,A,A
C,C,C,C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,C,E,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
