bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,C,C,A,A,A,A,A,A,A,B,B,B,D,B,B,B,B,B,B,B,B
B,C,C,C,B,B,B,B,B,A,A,A,A,A,A,A,A,A,C,A,C,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,B,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,C,C,C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,A,B,A,C,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,B,B,B,B
E,B,B,B,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,A,B,B
A,D,D,D,A,A,C,C,A,B,B,C,C,D,C,C,C,B,C,C,C,D
B,D,A,B,D,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,A,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,B,B,D,D,D,D,D,D,A,D,B,A,B,A,B,A,A,B,A,A,A
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C
A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B
D,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,B
E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
A,C,C,C,C,C,C,C,B,B,B,B,C,C,C,C,C,B,C,C,C,C
B,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,A,C,C,A,A
C,C,C,C,C,C,C,C,A,A,D,D,D,D,D,D,A,D,D,D,D,D
D,C,C,C,D,D,D,D,D,D,D,D,A,C,C,C,A,A,A,A,A,A
E,C,C,C,C,C,C,C,C,C,C,E,E,C,C,E,C,C,C,C,C,C
A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,C,D,D,D,D,A,A,A,A,A,A,D,A,D,D,D,D,D,A,A
C,E,E,C,C,C,C,C,C,C,C,C,E,E,A,E,A,A,E,A,A,E
D,B,B,B,B,D,B,D,D,D,D,D,A,A,B,B,B,B,A,B,B,A
E,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D
A,C,C,A,C,C,A,A,C,A,A,A,C,C,C,C,C,C,C,C,C,C
B,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,C,C,E,E,E,E,E,E,E,E,E,E,A,E,E,B,A,B,B
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A
C,C,B,B,A,C,C,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A
D,C,A,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A
E,C,C,C,C,C,C,C,D,D,D,D,D,A,D,D,D,D,B,D,D,D
A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,B,D,C,D,D,D,D,D,B,B,B,D,B,B,B,B,B,B,B,B,B
D,C,C,C,C,D,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
A,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,D,C,C,C,C
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A
D,D,A,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,C,C,C,C,C,C,C,C,C,C,A,B,B,A,A,B,B,B,A,A,A
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,C,C,C,B,C,C,C,C,C,A,A,A,A,A,A,C,A,C,A,A
C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D
D,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C
E,B,C,B,E,E,E,E,E,E,E,E,B,B,B,B,E,B,B,B,B,B
A,D,D,D,D,A,A,A,A,A,D,D,E,A,A,A,A,E,E,E,A,E
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,A
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
