bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,C,C,C,C,C,C,C,E,C,C,C,E,C,C,C,E,E,E,C,C
C,C,E,E,E,C,E,C,C,C,C,C,E,C,C,E,E,C,E,E,E,C
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,C,B,B,C,C,C,C,B,D,D,B,B,B,B,B,C,C,B,B,B
B,D,D,C,C,C,C,C,C,C,C,D,D,D,D,D,C,D,D,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D
D,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,E,E,E,E,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C
E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,C,C,C,C,C,C,C,C,C,C,C,C,E,C,E,C,C,C,C,C
B,D,D,D,D,E,C,E,E,E,E,E,E,E,A,A,E,E,D,E,E,A
C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,E,C,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,E,C,C,C,C,C,C,C,C,E,E,C,C,C,C,C,C,C,A
C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,E,E
E,E,E,C,C,C,E,C,D,D,D,C,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,B,B,E,E,E,E,B
B,C,C,C,C,C,E,C,C,C,C,E,E,E,C,C,C,C,C,C,C,C
C,C,D,D,D,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,D,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,C,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D
A,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D
B,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,C,D,D,D,D,D,E,D,C,D,D,C,C,C,C,C,C,C,C,D,C
D,C,C,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,C,D,D,D,D,D,D,D,D,D,D,D,A,C,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,C,C,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D
B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E,E
D,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E,E,C,C,E,E,E
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C
A,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,C,C,E
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,D,C,B,B,B,D,D,B,B,B,B,B,B,B,D,D,B,D,B,B,B
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,D,D,D,E,E,D,D,D,D,D,D,D,D,D,D,E,E,D,E,D
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,E,E,B,B,E,E,E,E,B,E,E,E,B,E,E,E,B,E,E,B,E
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,D,D,D,D,D,E,E,D,E,D,D,D,E,E,C,E,E,E,D,D,D
D,D,E,E,E,E,E,E,E,E,E,E,E,D,E,E,D,E,E,E,D,E
E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,E,E,E,E,C,C,E,C,C,C,C,C,C,C,E,E,C,C,C,C,C
D,B,B,B,E,E,E,E,E,E,E,E,E,E,E,E,B,B,B,B,B,B
E,C,C,D,C,C,C,C,C,C,C,C,C,D,C,D,C,C,D,D,C,C
A,E,D,B,B,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D,B,D
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D
D,D,E,E,D,E,D,D,D,D,D,D,E,D,D,D,C,D,D,D,D,D
E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,E,B,D,B,D,D,D,D,E,E,E,E,E,D,E,E,E,B,E,B
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,E,D,D
C,C,D,D,D,D,C,D,C,C,C,C,C,C,C,C,C,C,D,D,D,D
D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,C,E,E,E,E,E,E,E,E,C,E,E,E,C,E,E,E,E,E,E
A,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,E,E,D,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
