bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,J,I,I,I,I
E,J,F,F,F,F,E,F,J,J,F,E,D,E,E,E,D,D,D,D,D,D
F,J,I,I,I,J,J,J,J,J,J,J,J,J,I,J,J,J,J,J,J,I
G,J,J,J,J,J,G,J,J,J,J,J,J,J,J,J,J,J,G,G,G,G
H,G,G,G,G,H,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
I,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
D,E,J,J,E,E,I,J,E,J,I,I,I,J,J,J,J,I,I,I,I,I
E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
F,I,I,I,I,I,I,I,I,J,I,I,J,J,I,I,I,J,J,J,J,J
G,G,I,I,G,G,G,G,G,G,G,G,I,G,I,I,I,I,I,I,I,G
H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
A,I,J,J,J,J,J,J,J,J,J,I,I,I,I,I,I,I,I,I,I,I
B,A,F,A,A,I,F,A,A,I,I,F,I,I,I,F,I,F,I,I,A,A
C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
D,H,H,H,D,D,D,D,D,D,D,D,D,D,D,D,H,H,D,D,D,D
E,H,H,H,H,H,H,H,H,H,E,H,E,H,E,E,E,H,E,E,E,E
F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,J,J,J
