bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B
C,A,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C
D,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
E,A,E,A,E,E,A,E,E,E,E,E,E,F,F,F,F,F,F,E,F,E
F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E
H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
I,F,I,F,F,F,F,F,F,F,F,A,A,A,A,A,A,F,F,F,F,A
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,G,G,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,J,D,D,D,D,D,D,D,D,D,D,A,D,A,D,D,D,A,D,D,D
E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
F,D,D,D,D,A,D,D,D,A,A,D,D,D,D,D,D,D,D,D,D,D
G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,H,B,B,B,B,B,B,B,B,B,B,B,D,D,B,B,D,D,D,D
B,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,D,E,E,E,E,E,E,E,E,E,A,E,E,F,E,E,E,A,A,E,E
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
I,A,A,I,I,I,I,I,I,A,A,A,A,A,A,A,A,A,A,A,A,A
J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
A,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D
D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,J,J,J,J,J,J,J,J,J,E,A,E,J,J,E,E,E,E,E,E,E
F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,J,J,G,J,G,J,J,J,J,J,J,J,J,J,G,G,G,G,J,G
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,A,D,D,A,A,A,A,A,D,A,D,D,D,D,D,A,A,A,A,D,A
E,F,E,F,F,F,F,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
G,D,G,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
J,D,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,G,C,C,C,A,A,A,A,A,A,A,A,A,A,C,B,A,C,C,B,C
D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
E,J,A,A,A,A,A,E,E,E,E,E,E,A,J,J,J,A,A,J,J,J
F,E,F,A,F,A,A,A,A,A,A,A,F,F,F,A,F,F,F,F,F,F
G,A,G,G,G,G,G,G,A,A,G,G,G,G,G,G,G,G,G,G,G,G
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
J,H,H,H,F,H,F,F,F,H,H,H,H,H,H,H,H,F,F,F,F,F
A,A,A,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,A,A
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
H,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
I,A,A,A,A,A,A,A,A,I,I,I,A,I,I,I,I,D,I,I,I,I
J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,I,A,B,B,B,B,B,B,B,B,B,B,B,D,B,B,B,B,D,D,D
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,A,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D
E,D,E,D,E,E,E,E,E,E,E,D,B,B,D,B,B,B,B,E,D,B
F,H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,C,G,G,G,G
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
J,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,G,F,B,B,B,B,F,A,A,A,B,A,A,A,B,B,B,B,B,B,B
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,E,E,E,A,A,A
F,I,I,I,I,I,I,I,I,I,I,I,I,I,E,I,I,E,E,E,E,E
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
J,D,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,F,F,F,B,B,B,B,B,B,F,F,B,F,F,F,B,B,F,F,F,F
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C
D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,E,E,E
G,B,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,A,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H
I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
J,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,F,C,C,C,C,C,C,C,A,A,A,A,C,C,A,F,C,C,H,H,H
D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,D,B
E,F,F,E,E,E,F,F,F,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,A,A,F,F,F,F,F,F,F,F
G,C,G,G,G,C,C,C,C,C,G,G,G,C,G,C,C,C,G,G,G,G
H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,J,J,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,B,E,E,E,E,E,E,E,E,E,E,E,E,G,G,E,G,G,E,E,E
F,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,E
