bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
B,B,B,B,B,B,B,B,B,B,B,B,B,B,I,B,I,B,B,B,B,B
C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C
D,E,I,I,I,D,I,I,D,I,D,I,I,I,I,I,I,I,I,I,I,I
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,I,E,I,E
F,H,H,I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
G,I,I,I,I,I,I,I,I,G,I,I,I,I,I,I,I,I,I,I,I,I
H,I,I,I,H,I,I,H,H,H,I,I,I,I,I,I,I,I,I,I,I,I
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
B,H,H,I,B,B,B,B,B,B,I,I,I,I,I,B,I,I,I,I,I,I
C,I,D,I,I,I,I,I,C,C,I,I,I,I,I,I,I,I,I,I,I,I
D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
E,I,I,I,I,E,E,E,E,E,I,I,I,I,I,I,I,I,I,I,I,I
F,E,E,E,E,E,F,F,E,E,E,I,E,I,E,E,E,E,E,I,E,E
G,E,E,E,I,E,E,I,E,I,E,I,I,I,I,I,E,I,I,I,I,I
H,D,I,I,H,I,I,H,H,H,H,H,H,I,I,I,I,I,I,I,I,I
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,G,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,I,A,A,A,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
D,F,F,F,I,D,D,I,D,D,D,D,I,D,D,D,D,I,D,I,D,I
E,I,I,I,I,E,E,E,I,I,I,I,I,I,I,E,I,I,I,I,I,I
F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,I,G,G,G,I
H,C,C,C,H,H,H,H,H,H,H,H,H,I,H,I,I,H,H,I,I,I
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,D,I,A,I,A,A,A,I,A,I,A,I,A,I,I,I,I,I,I,I,I
B,G,G,G,E,E,E,E,E,E,E,E,E,E,E,E,I,I,E,I,I,E
C,H,I,I,I,I,I,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I
D,B,I,I,I,D,D,I,D,D,I,D,I,I,I,I,I,I,I,I,I,I
E,I,I,I,I,E,I,E,E,E,E,E,I,E,I,I,I,I,I,I,I,I
F,H,I,I,I,I,I,I,I,I,I,F,I,I,I,I,I,I,I,I,I,I
G,I,I,G,G,G,G,G,G,G,G,G,I,G,G,G,G,G,G,G,G,I
H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
I,H,H,H,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,G,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,I,I,J
