bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,G,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,H,H,H,H,E,I,H,H,I,H,E,E,E,H,H,E,H,A,A,H,H
C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
D,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,H,H,H,H,F,F,F,F,F,F,H,F,H,H,F,F,H,H,H,H
G,C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,J
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D
I,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,J,J,J,J
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,A,E,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,D,D,D,D,D,D,D,D,G,E,G,D,D,D,D,D,D,D,D,D
C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,D
D,F,F,F,F,F,F,D,D,D,C,D,C,C,C,C,C,C,C,C,C,C
E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,I
F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
B,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,C,D,C,C,D,C,D,D,D,D,C
D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,E,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,C,G,G,G,G,G,G,G,C,C,C,C,C,C,C,C,C,C,C,C,C
H,D,E,H,H,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,J,I,I,I,I,J,I,I,I,I,I,I,I,I,I,J,J,J,I,J,I
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D
B,H,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,I,C,C,C,C,C,C,C,A,A,A,C,C,C,A,A,A,A,A,A,A
D,J,J,J,D,D,D,J,D,D,J,J,J,J,J,J,J,J,J,J,J,J
E,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,I,I,I,I,I,I,I,I,I,G,G,I,I,I,I,I,I,I,I,I,I
H,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,E,I,I,I,E,E,I,J,J,J,J,J,J,J,J,J,J,J,J,J
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
D,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D
G,J,G,G,G,G,G,G,G,G,G,G,G,G,J,J,G,J,J,J,J,J
H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,E,E,E,E,A,E,A,A,A,E,A,A,A,A,A,A,A,A
B,J,J,B,B,B,B,B,B,B,J,B,B,E,B,D,A,D,A,A,A,D
C,C,C,C,C,D,C,C,C,D,C,D,D,D,D,D,D,D,D,D,D,D
D,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,E,D,D
F,J,F,F,F,F,F,F,F,F,F,J,F,F,J,J,J,J,J,J,J,J
G,F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,F,F,F,F
H,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
J,H,H,J,J,J,J,J,J,J,J,J,J,J,J,H,J,H,H,J,H,H
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,D,D,B,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,A
C,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
D,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,F,E,E,F,E,E,E,E,F,F,E,E,E,E,E,E,E,E,E
G,E,F,F,G,G,G,G,G,G,G,G,F,E,E,E,E,F,E,E,F,F
H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,J,I,I,I,I,I,J,I,J,I,I,J,J,J,I,J,J,J,J,J,J
J,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,I,B,I,B,B,B,I,B,E,E,E,E,E,E,B,E,B,E,E
B,E,E,E,D,D,D,E,E,D,D,D,E,E,E,E,E,E,E,E,J,J
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,F,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,G,G,G,I,I,I,I,I,I,I,G,G,G,I,G,I,G,I,I,I,I
J,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,G,G,D,G,G,G,G,G,G,A,A,A,A,F,A,A,A,D,G
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,I,I,I,I,D,D,D,D,D,D,D,I,I,I,D,I,I,I,D,I,I
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,I,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,I,I,I
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E,F,E
G,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,D,D
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
