bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
B,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
B,F,F,F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,D,F,F,F,F,F,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C
D,A,A,C,C,C,C,C,C,C,D,C,C,D,C,D,C,A,C,C,D,D
E,J,J,J,J,J,J,J,J,J,J,J,J,E,J,J,J,J,E,J,J,E
F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,F,G,G
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
I,G,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,C,C,C,C,C,C,C,C,A,A,C,A,A,A,A,A,A,A,A,A,A
B,H,E,E,E,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,A,A,D,A,A,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C
D,H,H,H,H,F,H,F,H,H,H,H,F,H,H,H,H,H,H,H,H,H
E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,G,G,G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,I,I,I,I,I,I,E,I,I,E,I,E,E,E,E,E,A,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,E,I,E,I,I,I,I,I,I,E,I,H,E,E,E,E,E,E,E,E,E
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,B,C,C,C,C
B,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,C,C,C,C,C,C
C,J,J,J,J,J,J,J,J,J,J,J,J,C,J,J,J,J,C,C,C,C
D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
