bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,C,A,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B
B,C,C,C,C,C,C,C,C,A,A,A,A,C,A,A,A,A,A,A,A,A
C,E,F,F,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,D,G,G,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,F,F,F,F,F,F,F,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,G,G,G,G,G,G,G,G,I,I,G,G,G,G,G,G,G,G,G,G
G,C,C,C,C,C,C,C,C,C,G,C,C,C,C,G,G,G,G,G,G,C
H,D,D,D,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,C,J,J,J,J,I,J,J,J,J,J,I,I,J,J,I,I,I,I,J
J,F,F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,E,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F,D,D,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,A,I,I,I,I,G,I,I,I,I,G,I,A,A,I,A,I,G,I,G
H,C,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
J,C,D,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,C,C,C
D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,A,C,C,A,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,C,C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,C,I,H,H,I,I,H,H,H,H,H,H,H,H,H,I,H,H,H,H,H
I,E,E,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,D,D,D,D,D,D,D,D,J,D,D,J,J,J,J,J,J,J,J,J,J
A,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,J,G,G,G,G,G,G,C,G,C,G,G,B,C,B,B,B,B,B,B,B
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,G,G,G,G,G,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,G,G,G,G,G,G,G,F,F,F,G,F,F,G,F,G,F,G,G,G,G
G,E,G,F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,A,F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,G,G,G,G,G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
G,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,H,C,C
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,G,G,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,E,E,E,E,E,C,C,C,C,C,C,C,C,E,E,C,E,E,C
C,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,G,G,F,G,F,G,G,D,D,D,D,D,G,D,G,D,D,D,D,D,D
