bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,F,F,F,F,F,F,F,G,F,G,G,G,G,G,F,G,G,G,G
C,I,D,H,H,H,C,C,C,H,C,H,H,C,C,H,C,C,H,C,C,C
D,I,F,I,I,I,F,I,I,F,F,I,I,I,I,I,I,I,I,I,I,I
E,H,H,H,H,H,H,H,H,H,H,H,H,E,I,I,J,J,J,J,J,J
F,A,A,I,E,A,A,E,A,E,E,E,E,B,A,A,A,A,A,A,A,A
G,H,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,I,I,I,I
H,G,I,G,G,G,G,H,G,G,G,G,H,G,G,G,G,G,G,G,G,G
I,I,I,I,I,I,I,I,I,I,I,I,I,H,I,I,H,H,I,I,I,I
J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,J,F
A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
B,I,I,I,I,I,I,I,I,I,I,J,I,I,I,I,I,I,I,I,I,I
C,E,J,D,D,D,D,F,E,F,J,J,J,F,E,E,F,E,F,F,J,F
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
F,G,G,G,G,J,G,J,J,J,J,J,E,J,J,J,J,J,J,J,J,J
G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,E,I,I,I,I,I,I,I,I,E,I,I,I,I,I,I,I,E,I,I,I
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,I,J,J,I,I,I,I,I,I,I,I,J,I,I,I,I,I,I,I,I
A,I,I,I,I,I,I,I,I,J,H,I,I,I,I,I,I,I,I,I,I,I
B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
E,E,H,H,F,J,I,I,J,J,J,H,H,H,H,I,H,I,B,I,H,I
F,E,H,H,H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,D,D,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,G
H,J,I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,B,B,B,B,B,J,J,B,J,B,J,B,B,B,B,B,B,B,B,B,B
J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,G
A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
B,A,A,A,A,A,A,A,A,H,H,H,A,A,A,A,H,A,A,A,A,A
C,J,J,J,J,J,J,J,J,J,J,J,J,C,C,C,C,C,C,C,C,C
D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
E,I,I,I,H,H,H,H,H,H,H,E,E,E,I,I,I,I,I,I,I,I
F,J,G,G,G,G,G,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J
G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,B,I,I,I
H,B,I,B,I,B,I,I,I,I,A,I,A,A,A,A,A,A,A,A,A,I
I,I,H,I,I,I,I,I,I,I,H,H,H,H,H,H,H,H,H,H,H,H
J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
A,I,H,H,H,H,I,I,I,H,H,H,H,H,I,I,I,I,I,I,I,I
B,F,F,D,D,C,F,F,F,D,D,F,C,C,F,F,F,F,C,F,D,D
C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
E,H,G,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B
C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
D,F,F,I,F,F,F,F,E,E,E,E,D,E,E,D,E,E,E,E,E,E
E,J,B,J,I,J,I,J,I,J,J,J,J,J,J,J,J,J,J,J,J,J
F,C,C,J,J,J,J,J,J,J,F,F,C,F,C,C,J,F,F,F,F,F
G,H,H,H,H,H,H,H,H,H,H,G,F,F,F,F,F,F,F,F,F,F
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,J,J,J,J,J,I,J,J,J,J,J,J,I,I,I,I,I,I,I,I,I
J,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C
A,C,C,B,B,B,B,B,I,J,J,I,I,I,I,I,I,I,G,G,G,G
B,H,C,C,C,C,C,C,C,C,C,C,C,C,J,C,J,A,A,A,A,A
C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
D,F,F,E,E,E,D,D,D,D,D,D,D,D,D,C,D,D,C,D,D,D
E,G,H,H,H,H,H,E,E,H,E,E,E,E,E,E,E,E,E,E,E,E
F,D,D,J,J,J,J,J,J,J,J,J,J,J,J,D,J,J,J,J,J,J
G,G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,F
H,H,F,H,H,H,F,F,F,F,H,F,F,F,F,F,F,F,F,F,F,F
I,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
J,C,J,J,J,J,J,J,J,J,J,H,J,H,H,H,H,J,J,H,J,J
A,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,B,B
B,J,C,C,J,C,J,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J
C,D,D,D,D,F,D,F,F,F,D,F,F,F,F,F,F,F,A,A,A,A
D,G,G,H,H,D,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,H,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
G,G,I,I,I,I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
H,I,J,J,I,I,H,H,H,H,H,H,H,H,H,H,H,F,H,H,H,I
I,F,I,I,I,I,I,I,I,I,F,H,I,F,I,F,I,I,F,H,H,H
J,J,J,J,J,J,J,J,J,J,J,I,I,I,I,I,I,I,I,I,I,I
