bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,A,A,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,J
B,D,B,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,J,J,A,J,J,J,J,J,J,J,J,J,A,J,A,D,D,D,D,D,D
E,D,D,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,A,A,F
F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
G,C,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
J,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
A,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E,E
C,H,H,D,D,D,D,H,D,D,D,D,D,A,D,D,D,D,A,A,A,A
D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,B,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,F,F,G,G,H,H,H,G,G,H,H,H,F,F,H,G,G,G,F,G,F
H,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,A,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,A,A,A,A,E,E,E,A,E,A,E,E,E,E,E,E
