bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,E,E,E,E,E,E,E,E,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,F,F,F,F,F,F,F,F,F,F,B,F,F,F,F,F,B,F,F,F,F
D,E,E,D,D,E,D,D,D,E,E,E,E,B,E,E,E,E,E,E,E,E
E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F,I,I,I,D,I,E,D,C,E,D,C,C,C,D,C,C,C,C,D,D,D
G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,C,C,C,C,C,C,C,C,C,C,C,C,C,I,I,I,I,I,I,I,I
I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,E,D,D,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,E,E,E,E,E,E,E,E,D,E,D,D,D,D,D,D,D,D,D
D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,F,F,F,F,F,I,E,F,E,E,F,I,I,I,I,I,I,I,I,I,I
I,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,C,C,C,C,C,C,E,C,C,C,C,C,C,B,E,E,E,C,C,E,E
A,E,I,I,I,I,I,E,I,I,I,I,I,I,I,I,I,I,B,B,B,I
B,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,F,F,E,I,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,F,F,F,F,F,F,F,E,E,F,D,F,D,E,E,E,F,F,F
F,C,C,C,C,C,C,C,C,C,C,C,G,G,G,C,C,C,C,C,C,G
G,F,F,F,F,F,I,I,I,I,I,F,I,I,I,I,I,I,I,I,F,F
H,E,D,D,D,D,I,I,I,I,D,I,I,I,I,I,I,I,I,I,I,I
I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
J,D,D,D,D,D,D,D,D,I,I,D,D,D,D,D,D,I,D,I,D,D
A,I,I,I,I,I,I,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,E,E,E,E,E,E,E,E,E,E,E,D,C,C,C,D,C,C,C
C,E,E,E,E,E,E,E,E,E,C,C,C,E,B,E,E,E,E,E,E,E
D,E,E,E,I,E,E,I,D,D,D,D,D,D,D,D,D,D,E,I,I,E
E,E,E,C,C,C,C,C,I,C,E,E,E,E,E,E,E,E,E,E,E,E
F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,E,E,E,E,E,E,E,E,E,E,E,E,I,I,I,I,I,I,I,I,I
I,I,C,C,I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,E,B,B,B,B,B,B,B,B,B,E,B,E,E,E,B,E,E,E,E,E
A,E,E,E,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,B,B,I,I,I,I,I,I,I,I,I,B,B,B,B,B,B,B,B,B,B
B,I,I,I,I,I,B,I,I,I,B,A,A,A,A,C,A,A,A,C,C,C
C,E,E,E,I,E,E,I,E,I,E,C,I,I,B,I,I,B,B,B,B,B
D,E,B,E,B,B,B,B,B,B,B,B,B,B,E,B,E,B,E,E,E,E
E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
I,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,B,B,E,B,E,B,E,B,B,B,B,B,B,B,B,B,B,B,B
B,B,A,E,E,A,A,A,E,A,E,E,A,E,E,A,A,A,A,C,A,A
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,B,E
D,I,E,E,E,E,E,E,D,D,D,D,D,D,E,E,D,E,D,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,I,I,I,I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,E,E,E
A,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,C
B,I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,E,E,E,E,I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,E,F,E,E,E,F,F,F,F,F,F,F,F,E,E,E,F,F,E,E
G,F,F,F,D,D,D,F,D,F,F,F,F,F,F,F,F,F,F,F,F,F
H,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E,E,E,E
I,B,C,C,C,B,B,B,B,B,B,B,B,B,B,I,I,I,I,I,I,I
J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
A,C,C,E,A,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,I,E,I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,C,E,E,E,I,I,I,I,I,I,B,B,B,B,B,B,B,B,B,B,B
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,E,D,E,D,E,E
F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B
G,E,E,E,E,E,E,E,I,I,H,I,I,I,I,I,I,H,H,H,H,H
H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,C,I,C,C,C,C,I,I,I,I,I,I,I,C,I,I,I,I,I,I,I
A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
B,E,E,E,E,E,E,E,E,E,E,C,C,C,C,E,C,C,C,C,C,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,I,D,D,D,I,D
E,I,I,I,I,I,I,I,I,I,I,I,I,I,E,I,I,I,I,I,I,I
F,I,D,I,I,I,I,I,I,I,F,F,F,I,I,I,I,I,I,I,I,I
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,E,E,E,E,E,I,I,I,E,I,I,I,I,I,I,I,I,I,I,I,I
I,F,E,D,D,D,D,D,D,D,I,I,I,E,D,D,E,I,E,I,I,E
J,C,I,C,I,I,I,I,I,I,I,I,I,C,I,I,I,I,I,I,I,I
A,B,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,D,E,E,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,H,E,F,F,F,F,F,E,E,E,E,E,E,E,E,E,F,F,F,F
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I
J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,E,E
A,C,D,B,B,B,B,B,F,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,E,E,E,C,E,C,C,E,C,C,C,E,E,E,E,C,C,C,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
F,J,J,A,A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,D,C,D,B
H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
I,I,F,F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,E,E,E,E,E,I,E,E,E,E,E,E,E,I,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,J,I,I,I,J,I,J,I,I,I,I,I,I,I,I,I,I,I,I,I,J
E,H,B,B,B,B,B,B,B,B,B,E,B,B,B,E,B,B,B,B,B,B
F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,C,C,C,C,C,C,C,C,C,C,C,I,I,I,I,I,I,I,I,I,I
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,G,G,G,G,G,G,G,F,G,G,F,G,G,G,G,G,F,G,G,G,F
A,E,E,E,E,E,E,E,E,B,B,B,B,B,I,I,B,B,B,B,B,B
B,E,E,E,C,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,E,E,E,C,C,D,C,C,C,C,D,D,C,D,C,C,C,E,C,E,E
E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
F,F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
G,D,D,D,D,B,B,D,D,D,F,D,F,F,F,B,F,F,F,F,F,F
H,E,E,E,E,I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,E,E,E,E,J,G,I,I,I,J,E,I,E,E,I,I,I,I,E,E,E
A,I,I,I,I,I,I,I,I,B,I,I,I,I,I,I,B,B,B,B,B,B
B,B,E,E,E,E,E,E,E,E,E,E,E,C,C,C,C,C,C,C,C,C
C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,C,C,C,C,C,C,C,C,C,I,I,I,I,I,I,C,C,C,I,C,C
H,I,F,I,F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E
J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,I,I,I,I,I,I,C,C,C,C,C,C,C,I,C,C,C,C,C,C,C
C,G,A,E,A,A,A,A,A,A,B,A,A,A,B,A,A,A,E,E,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,G,G,F,F,F,E,F,F,F,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,J,D,J,D,D,J,J,D,D,J,J,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,D,D,D,I,I,I,I,I,I,I,D,A,D,D,I,D,D,D,D,A,A
C,I,I,E,I,I,I,I,I,I,E,D,D,D,D,D,D,D,D,D,D,I
D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
F,D,D,B,D,B,B,B,B,B,B,B,B,C,B,B,C,D,E,B,B,B
G,I,I,I,I,I,I,I,I,B,I,I,I,I,I,B,I,I,B,B,B,B
H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,I,C,C,C,C,C
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,C,C,C,C,I,I,I,C,I,I,I,C,C,C,C,I,I,C,I,I,I
A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,B,B,B,B,B,B
B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,E,C,C,C,C,C,C,D,D,D,D,D,C,C,C,C,C,C,C,C,E
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,E,E,E,E,E,E,E,E,E,E,I,E,B,I,I,I,I,I,E,E,E
G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
I,E,E,E,E,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
A,I,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C
B,I,I,G,I,I,I,I,I,I,I,I,E,I,I,C,C,C,I,C,C,C
C,E,C,E,E,C,A,C,E,A,A,E,A,E,A,A,A,A,A,E,E,A
D,A,A,A,A,A,A,A,C,C,C,A,A,A,A,A,C,C,C,C,C,C
E,C,C,C,C,C,B,C,C,C,C,B,C,C,B,I,I,B,B,B,E,E
F,I,I,I,I,I,I,I,I,I,I,I,I,F,I,I,I,I,I,I,I,I
G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,I,C,C,I,I,I
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,G,G,G,G,G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,D,D,A,A,A,A,A,A,A,A,D,D,D,D,E,B,E,B,B,D,E
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,I,A,A,A,A,A,J,I,I,A,A,A,A,A,A,A,A,A,A,A,A
D,D,E,E,E,E,E,E,E,E,E,E,E,E,B,E,E,E,C,E,B,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
G,E,D,D,D,D,C,C,C,C,C,G,C,C,D,C,C,C,C,C,D,C
H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,B,B,B,B
B,I,I,I,I,I,I,E,I,I,I,I,I,I,I,I,I,I,I,I,G,G
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,A,B
A,B,B,B,B,B,B,B,C,B,B,C,C,C,C,C,C,C,C,C,C,C
B,I,C,C,C,C,C,F,F,F,F,C,F,C,C,C,C,C,C,F,C,C
C,I,I,I,I,I,I,I,I,I,I,E,I,I,I,C,I,C,C,C,C,C
D,D,E,E,E,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,E,E
E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F,I,C,C,C,C,E,C,F,F,F,F,F,C,I,I,F,F,F,E,E,E
G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
J,I,I,I,I,I,I,I,I,I,F,I,I,I,I,I,I,I,I,I,I,F
A,A,A,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,B,B,B,B,B,B,B,B,D,D,B,B,B,B,B,B,D,B
